Mandante	Material	Sales Organization	Distribution Channel	Grid Value	Core Assortment Start Date	Core Collection Start Date	Core Assortment End Date	Core Collection End Date
100	103723			3OL5117		01/02/2021		31/08/2021
100	103723			3OL5438		01/02/2021		31/08/2021
100	103723			FLL5117		01/02/2021		31/08/2021
100	103723			FLL5438		01/02/2021		31/08/2021
100	103723			O6W5117		01/02/2021		31/08/2021
100	103724			FLL5519		01/02/2021		31/08/2021
100	103724			R805519		01/02/2021		31/08/2021
100	103725			0034921		01/02/2021		31/08/2021
100	103725			0VK4921		01/02/2021		31/08/2021
100	103725			FLL4921		01/02/2021		31/08/2021
100	103725			WIR4921		01/02/2021		31/08/2021
100	103726			05L5217		01/02/2021		31/08/2021
100	103726			8075217		01/02/2021		31/08/2021
100	103726			KDX5217		01/02/2021		31/08/2021
100	103726			ZX95217		01/02/2021		31/08/2021
100	103728			7C55317		01/02/2021		31/08/2021
100	103728			DXL5317		01/02/2021		31/08/2021
100	103728			OXZ5317		01/02/2021		31/08/2021
100	103730			RHL5417		01/02/2021		31/08/2021
100	103731			9005315		01/02/2021		31/08/2021
100	103731			DXL5315		01/02/2021		31/08/2021
100	103793			7C55216		01/02/2021		31/08/2021
100	103793			OXZ5216		01/02/2021		31/08/2021
100	203237			FLL58KU		01/02/2021		31/08/2021
100	203238			3OL55QT		01/02/2021		31/08/2021
100	203238			FLL55KU		01/02/2021		31/08/2021
100	203341			807589O		01/02/2021		31/08/2021
100	203347			0VK54KU		01/02/2021		31/08/2021
100	203347			WIR54IR		01/02/2021		31/08/2021
100	203351			2V759T4		01/02/2021		31/08/2021
100	203352			00350IR		01/02/2021		31/08/2021
100	203352			FLL50KU		01/02/2021		31/08/2021
100	203398			I4660IR		01/02/2021		31/08/2021
100	203398			V84609O		01/02/2021		31/08/2021
100	203400			FLL59KU		01/02/2021		31/08/2021
100	203400			R8059DC		01/02/2021		31/08/2021
100	203237			00358IR		01/02/2021		31/08/2021
100	203238			00355IR		01/02/2021		31/08/2021
100	203341			086589O		01/02/2021		31/08/2021
100	203341			KDX58FF		01/02/2021		31/08/2021
100	203342			000619O		01/02/2021		31/08/2021
100	203342			010619K		01/02/2021		31/08/2021
100	203342			DDB61HA		01/02/2021		31/08/2021
100	203342			J5G61GB		01/02/2021		31/08/2021
100	203351			00359IR		01/02/2021		31/08/2021
100	203351			FLL59KU		01/02/2021		31/08/2021
100	203351			R8059DC		01/02/2021		31/08/2021
100	203399			80756IR		01/02/2021		31/08/2021
100	203247			QRS50IB		01/02/2021		31/08/2021
